Distance,Hop,RTT,PLR
400m,1,3520.8412060301507,0.25
400m,1,3534.8412060301507,0.25
400m,1,2802,0.0
400m,1,3418.8412060301507,0.25
400m,1,2944,0.0
400m,1,2916,0.0
400m,1,2984,0.0
400m,1,3531.8412060301507,0.25
400m,1,3580.8412060301507,0.25
400m,1,3557.8412060301507,0.25
400m,1,2658,0.0
400m,1,2923,0.0
400m,1,2915,0.0
400m,1,3005,0.0
400m,1,4138.682412060301,0.4
400m,1,2967,0.0
400m,1,4622.523618090452,0.5
400m,1,2927,0.0
400m,1,2853,0.0
400m,1,4034.6824120603014,0.4
400m,1,5998.206030150754,0.625
400m,1,2965,0.0
400m,1,3059,0.0
400m,1,4068.6824120603014,0.4
400m,1,3376.8412060301507,0.25
400m,1,2888,0.0
400m,1,2863,0.0
400m,1,2877,0.0
400m,1,2952,0.0
400m,1,3481.8412060301507,0.25
400m,1,2880,0.0
400m,1,2808,0.0
400m,1,3491.8412060301507,0.25
400m,1,4166.682412060301,0.4
400m,1,3490.8412060301507,0.25
400m,1,3071,0.0
400m,1,3514.8412060301507,0.25
400m,1,2903,0.0
400m,1,2906,0.0
400m,1,2869,0.0
400m,1,2972,0.0
400m,1,3880.6824120603014,0.4
400m,1,4146.682412060301,0.4
400m,1,3475.8412060301507,0.25
400m,1,3461.8412060301507,0.25
400m,1,2673,0.0
400m,1,5329.364824120603,0.5714285714285714
400m,1,2878,0.0
400m,1,2918,0.0
400m,1,2829,0.0
400m,1,2854,0.0
400m,1,3580.8412060301507,0.25
400m,1,3521.8412060301507,0.25
400m,1,2929,0.0
400m,1,3453.8412060301507,0.25
400m,1,3259.8412060301507,0.25
400m,1,3532.8412060301507,0.25
400m,1,3519.8412060301507,0.25
400m,1,2933,0.0
400m,1,2946,0.0
400m,1,3439.8412060301507,0.25
400m,1,2952,0.0
400m,1,2900,0.0
400m,1,3223.8412060301507,0.25
400m,1,2906,0.0
400m,1,2831,0.0
400m,1,3437.8412060301507,0.25
400m,1,2975,0.0
400m,1,2802,0.0
400m,1,2840,0.0
400m,1,2848,0.0
400m,1,3489.8412060301507,0.25
400m,1,3039,0.0
400m,1,4556.523618090452,0.5
400m,1,2945,0.0
400m,1,2972,0.0
400m,1,2973,0.0
400m,1,4033.6824120603014,0.4
400m,1,5170.364824120603,0.5714285714285714
400m,1,3528.8412060301507,0.25
400m,1,2752,0.0
400m,1,2918,0.0
400m,1,4765.523618090452,0.5
400m,1,3524.8412060301507,0.25
400m,1,4010.6824120603014,0.4
400m,1,2645,0.0
400m,1,2881,0.0
400m,1,2935,0.0
400m,1,3226.8412060301507,0.25
400m,1,4061.6824120603014,0.4
400m,1,2846,0.0
400m,1,2898,0.0
400m,1,2805,0.0
400m,1,3448.8412060301507,0.25
400m,1,3329.8412060301507,0.25
400m,1,2870,0.0
400m,1,3499.8412060301507,0.25
400m,1,3616.8412060301507,0.25
400m,1,4013.6824120603014,0.4
400m,1,4003.6824120603014,0.4
400m,1,5135.523618090452,0.5
400m,1,3002,0.0
400m,1,5839.206030150754,0.625
400m,1,4020.6824120603014,0.4
400m,1,2492,0.0
400m,1,4072.6824120603014,0.4
400m,1,3229.8412060301507,0.25
400m,1,3291.8412060301507,0.25
400m,1,3981.6824120603014,0.4
400m,1,4099.682412060301,0.4
400m,1,2908,0.0
400m,1,3943.6824120603014,0.4
400m,1,2960,0.0
400m,1,3502.8412060301507,0.25
400m,1,3010,0.0
400m,1,4056.6824120603014,0.4
400m,1,2645,0.0
400m,1,4069.6824120603014,0.4
400m,1,3514.8412060301507,0.25
400m,1,4095.6824120603014,0.4
400m,1,2635,0.0
400m,1,3558.8412060301507,0.25
400m,1,3016,0.0
400m,1,4029.6824120603014,0.4
400m,1,2917,0.0
400m,1,4085.6824120603014,0.4
400m,1,3216.8412060301507,0.25
400m,1,4054.6824120603014,0.4
400m,1,4083.6824120603014,0.4
400m,1,2992,0.0
400m,1,3383.8412060301507,0.25
400m,1,3476.8412060301507,0.25
400m,1,3439.8412060301507,0.25
400m,1,3334.8412060301507,0.25
400m,1,4077.6824120603014,0.4
400m,1,3489.8412060301507,0.25
400m,1,3522.8412060301507,0.25
400m,1,4131.682412060301,0.4
400m,1,4099.682412060301,0.4
400m,1,2939,0.0
400m,1,2793,0.0
400m,1,2941,0.0
400m,1,3367.8412060301507,0.25
400m,1,3011,0.0
400m,1,2726,0.0
400m,1,3661.8412060301507,0.25
400m,1,3474.8412060301507,0.25
400m,1,3565.8412060301507,0.25
400m,1,2744,0.0
400m,1,2938,0.0
400m,1,2936,0.0
400m,1,3062,0.0
400m,1,3490.8412060301507,0.25
400m,1,2967,0.0
400m,1,3229.8412060301507,0.25
400m,1,3465.8412060301507,0.25
400m,1,2808,0.0
400m,1,2826,0.0
400m,1,3518.8412060301507,0.25
400m,1,2956,0.0
400m,1,2977,0.0
400m,1,3257.8412060301507,0.25
400m,1,2942,0.0
400m,1,2377.8412060301507,0.25
400m,1,3621.8412060301507,0.25
400m,1,3469.8412060301507,0.25
400m,1,2849,0.0
400m,1,3475.8412060301507,0.25
400m,1,2813,0.0
400m,1,2880,0.0
400m,1,4015.6824120603014,0.4
400m,1,2875,0.0
400m,1,2888,0.0
400m,1,2881,0.0
400m,1,2864,0.0
400m,1,4733.523618090452,0.5
400m,1,3919.6824120603014,0.4
400m,1,2961,0.0
400m,1,2813,0.0
400m,1,2854,0.0
400m,1,3474.8412060301507,0.25
400m,1,2969,0.0
400m,1,5200.364824120603,0.5714285714285714
400m,1,2912,0.0
400m,1,2799,0.0
400m,1,2897,0.0
400m,1,4163.682412060301,0.4
400m,1,2836,0.0
400m,1,2838,0.0
400m,1,4214.682412060301,0.4
400m,1,3450.8412060301507,0.25
400m,1,2859,0.0
400m,1,2727,0.0
400m,1,2937,0.0
400m,1,4131.682412060301,0.4
400m,1,4399.523618090452,0.5
400m,1,3524.8412060301507,0.25
400m,1,2903,0.0
400m,1,2908,0.0
400m,1,3531.8412060301507,0.25
400m,1,2922,0.0
400m,1,2964,0.0
400m,1,4067.6824120603014,0.4
400m,1,2904,0.0
400m,1,4086.6824120603014,0.4
400m,1,2901,0.0
400m,1,2872,0.0
400m,1,4044.6824120603014,0.4
400m,1,4083.6824120603014,0.4
400m,1,2866,0.0
400m,1,3012,0.0
400m,1,2868,0.0
400m,1,4580.523618090452,0.5
400m,1,3049,0.0
400m,1,2780,0.0
400m,1,3495.8412060301507,0.25
400m,1,5837.206030150754,0.625
400m,1,3017,0.0
400m,1,2959,0.0
400m,1,3523.8412060301507,0.25
400m,1,3487.8412060301507,0.25
400m,1,7102.888442211055,0.7
400m,1,4074.6824120603014,0.4
400m,1,3866.6824120603014,0.4
400m,1,4696.523618090452,0.5
400m,1,3430.8412060301507,0.25
400m,1,3639.8412060301507,0.25
400m,1,3023,0.0
400m,1,2881,0.0
400m,1,4013.6824120603014,0.4
400m,1,3501.8412060301507,0.25
400m,1,2840,0.0
400m,1,3533.8412060301507,0.25
400m,1,2786,0.0
400m,1,2861,0.0
400m,1,1748,0.0
400m,1,3332.8412060301507,0.25
400m,1,2862,0.0
400m,1,3577.8412060301507,0.25
400m,1,4018.6824120603014,0.4
400m,1,2932,0.0
400m,1,2949,0.0
400m,1,3399.8412060301507,0.25
400m,1,2973,0.0
400m,1,2882,0.0
400m,1,2875,0.0
400m,1,2992,0.0
400m,1,2716,0.0
400m,1,2962,0.0
400m,1,3408.8412060301507,0.25
400m,1,2860,0.0
400m,1,2956,0.0
400m,1,3671.8412060301507,0.25
400m,1,2857,0.0
400m,1,3502.8412060301507,0.25
400m,1,2917,0.0
400m,1,3630.8412060301507,0.25
400m,1,3545.8412060301507,0.25
400m,1,2938,0.0
400m,1,2848,0.0
400m,1,2794,0.0
400m,1,3591.8412060301507,0.25
400m,1,3514.8412060301507,0.25
400m,1,3021,0.0
400m,1,2896,0.0
400m,1,2833,0.0
400m,1,2376,0.0
400m,1,3511.8412060301507,0.25
400m,1,3518.8412060301507,0.25
400m,1,2993,0.0
400m,1,2955,0.0
400m,1,2893,0.0
400m,1,3281,0.0
400m,1,3439.8412060301507,0.25
400m,1,2927,0.0
400m,1,4230.682412060301,0.4
400m,1,5344.364824120603,0.5714285714285714
400m,1,3076,0.0
400m,1,2836,0.0
400m,1,3575.8412060301507,0.25
400m,1,2981,0.0
400m,1,2905,0.0
400m,1,2910,0.0
400m,1,3489.8412060301507,0.25
400m,1,3662.8412060301507,0.25
400m,1,4110.682412060301,0.4
400m,1,4052.6824120603014,0.4
400m,1,2956,0.0
400m,1,5256.364824120603,0.5714285714285714
400m,1,3542.8412060301507,0.25
400m,1,4117.682412060301,0.4
400m,1,4144.682412060301,0.4
400m,1,3029,0.0
400m,1,3421.8412060301507,0.25
400m,1,3641.8412060301507,0.25
400m,1,2809,0.0
400m,1,2957,0.0
400m,1,2980,0.0
400m,1,3418.8412060301507,0.25
400m,1,2926,0.0
400m,1,2829,0.0
400m,1,2751,0.0
400m,1,3435.8412060301507,0.25
400m,1,3976.6824120603014,0.4
400m,1,3472.8412060301507,0.25
400m,1,4039.6824120603014,0.4
400m,1,2888,0.0
400m,1,2942,0.0
400m,1,3457.8412060301507,0.25
400m,1,2921,0.0
400m,1,2877,0.0
400m,1,3474.8412060301507,0.25
400m,1,2809,0.0
400m,1,2802,0.0
400m,1,4107.682412060301,0.4
400m,1,5286.364824120603,0.5714285714285714
400m,1,2903,0.0
400m,1,2743,0.0
400m,1,3607.8412060301507,0.25
400m,1,2728,0.0
400m,1,2975,0.0
400m,1,4084.6824120603014,0.4
400m,1,2826,0.0
400m,1,2863,0.0
400m,1,3018,0.0
400m,1,2954,0.0
400m,1,3559.8412060301507,0.25
400m,1,5375.364824120603,0.5714285714285714
400m,1,2893,0.0
400m,1,4044.6824120603014,0.4
400m,1,2894,0.0
400m,1,2908,0.0
400m,1,2892,0.0
400m,1,2808,0.0
400m,1,4682.523618090452,0.5
400m,1,2972,0.0
400m,1,3024,0.0
400m,1,2993,0.0
400m,1,4422.682412060301,0.4
400m,1,4064.6824120603014,0.4
400m,1,3473.8412060301507,0.25
400m,1,2810,0.0
400m,1,3807.6824120603014,0.4
400m,1,4603.523618090452,0.5
400m,1,4038.6824120603014,0.4
400m,1,4062.6824120603014,0.4
400m,1,4085.6824120603014,0.4
400m,1,2786,0.0
400m,1,3987.6824120603014,0.4
400m,1,3004,0.0
400m,1,2674,0.0
400m,1,2914,0.0
400m,1,3895.6824120603014,0.4
400m,1,2888,0.0
400m,1,2883,0.0
400m,1,2916,0.0
400m,1,2928,0.0
400m,1,3577.8412060301507,0.25
400m,1,2999,0.0
400m,1,4703.523618090452,0.5
400m,1,3426.8412060301507,0.25
400m,1,3318.8412060301507,0.25
400m,1,2980,0.0
