Distance,Hop,RTT_Mean,RTT_Std_Dev,RTT_SEM,PLR_Mean,PLR_Std_Dev,PLR_SEM,Type
400m,1,3369.768947738693,667.8197719475835,21.12888254218864,0.16404661172161172,0.18372682336513285,0.00581285944770743,LoRaX
400m,2,4248.780909547739,1601.6770698326732,50.67481991483719,0.20939316239316236,0.1526228454669664,0.004828773136982307,LoRaX
400m,3,5157.072073366834,2262.1443307468026,71.57107930248377,0.2287946199912918,0.1399449878773065,0.0044276634736410666,LoRaX
400m,4,6149.400915577889,2829.9312726204066,89.53506316125682,0.24480213578990667,0.12383332042878685,0.0039179128741854774,LoRaX
400m,5,7052.474379899497,3325.320429753903,105.20848247800177,0.2517541114118005,0.11915442507896892,0.0037698791764331817,LoRaX
400m,6,7602.512386934673,3266.681674218808,103.3532343554314,0.24998001687192226,0.10364904231173856,0.003279310575409191,LoRaX
400m,7,8734.651787939698,3813.3539352946195,120.64917927730487,0.2609665150587819,0.09800407137946991,0.0031007115988707502,LoRaX
400m,8,9710.074643216081,4403.400577754858,139.31742889590657,0.26295131433581065,0.09695052917527414,0.003067378998638246,LoRaX
400m,9,10780.777970854271,4361.882242326199,138.00384689449174,0.26989149767710385,0.08815263246611965,0.002789025865061627,LoRaX
400m,10,11376.313497487437,4817.981178310411,152.43417862594578,0.2650238048438713,0.0834867890210117,0.0026414051112998403,LoRaX
1km,1,3024.1676361809045,316.0822704456862,10.000400476970897,0.054349999999999996,0.1107861791921718,0.003505119593303967,LoRaX
1km,2,3230.544890452261,601.87434330071,19.04246151273845,0.0694859307359307,0.09992724060626058,0.003161557980497202,Liando (NLOS)
1km,3,3435.6827326633165,834.4265215647067,26.400086827036215,0.07554908702408701,0.0919997402564232,0.002910742969051238,Liando (NLOS)
1km,4,3668.5239527638187,950.6693830369762,30.077848207554705,0.08410674325674326,0.0855631238117012,0.0027070974369145743,Liando (NLOS)
1km,5,3880.5570482412054,1088.8484136889736,34.449639267177126,0.08618472850678728,0.07700781355165322,0.0024364193989323104,Liando (NLOS)
1km,6,4070.0223195979897,1213.1279016912463,38.38166825868993,0.08676855189444196,0.07396418804117674,0.0023401233492874756,Liando (NLOS)
1km,7,4291.713397989949,1253.0369855583388,39.64433579387686,0.08984046513342177,0.06738686832619581,0.002132026162684319,Liando (NLOS)
1km,8,4472.96468643216,1297.31019785001,41.04507824201978,0.0901135902173087,0.062338143244459195,0.0019722915700281026,Liando (NLOS)
1km,9,4617.530326633165,1418.3655672715208,44.875100635859766,0.08824590921960485,0.059192962005774195,0.0018727824393351487,Liando (NLOS)
1km,10,4881.055624120602,1519.9729869848968,48.08981713081746,0.09145744032995155,0.05838678779051429,0.0018472762159223676,Liando (NLOS)
5km,1,3381.367977889447,653.2253432233549,20.667135251620593,0.16889155844155843,0.1849478482242999,0.005851490964643796,Liando (LOS)
5km,2,4363.2136271356785,1921.832840451727,60.80410023381644,0.2162010073260073,0.16043160676615287,0.005075831411117158,Liando (LOS)
5km,3,5507.082916582914,2569.744994401448,81.3031336160365,0.2506942639060286,0.14127599750248926,0.004469774754579925,Liando (LOS)
5km,4,6217.648448241206,2913.773676148092,92.18771941763713,0.24822015961390878,0.1256821236919585,0.0039764064208459,Liando (LOS)
5km,5,7234.559380904522,3304.5010583082217,104.54978671552813,0.2599230314508208,0.11448678397050908,0.0036222015471199243,Liando (LOS)
5km,6,8273.750296482413,3652.1059037677437,115.54751732986868,0.269685762666114,0.10520865002795242,0.0033286543798785807,Liando (LOS)
5km,7,9257.665138693466,4107.687432987441,129.96147903573623,0.2736462109016908,0.09460693183938326,0.0029932308602987436,Liando (LOS)
5km,8,9971.799747738693,4054.012888763414,128.26329160844935,0.2735876882909878,0.08631059691883403,0.0027307464394560775,Liando (LOS)
5km,9,11209.07028241206,4733.253554998125,149.7535152550137,0.2771912546109865,0.08860205832012158,0.0028032450698224206,Liando (LOS)
5km,10,12162.983648241205,4778.4482924563545,151.18341346916083,0.28135771272766646,0.08206764421822284,0.002596505356743252,Liando (LOS)
