Distance,Hop,RTT_Mean,RTT_Std_Dev,RTT_SEM,PLR_Mean,PLR_Std_Dev,PLR_SEM,Type,Drive_Time
5km,1,3381.367977889447,653.2253432233549,20.667135251620593,0.16889155844155843,0.1849478482242999,0.005851490964643796,Liando (LOS),3000000
5km,2,4363.2136271356785,1921.832840451727,60.80410023381644,0.2162010073260073,0.16043160676615287,0.005075831411117158,Liando (LOS),6000000
5km,3,5507.082916582914,2569.744994401448,81.3031336160365,0.2506942639060286,0.14127599750248926,0.004469774754579925,Liando (LOS),9000000
5km,4,6217.648448241206,2913.773676148092,92.18771941763713,0.24822015961390878,0.1256821236919585,0.0039764064208459,Liando (LOS),12000000
5km,5,7234.559380904522,3304.5010583082217,104.54978671552813,0.2599230314508208,0.11448678397050908,0.0036222015471199243,Liando (LOS),15000000
5km,6,8273.750296482413,3652.1059037677437,115.54751732986868,0.269685762666114,0.10520865002795242,0.0033286543798785807,Liando (LOS),18000000
5km,7,9257.665138693466,4107.687432987441,129.96147903573623,0.2736462109016908,0.09460693183938326,0.0029932308602987436,Liando (LOS),21000000
5km,8,9971.799747738693,4054.012888763414,128.26329160844935,0.2735876882909878,0.08631059691883403,0.0027307464394560775,Liando (LOS),24000000
5km,9,11209.07028241206,4733.253554998125,149.7535152550137,0.2771912546109865,0.08860205832012158,0.0028032450698224206,Liando (LOS),27000000
5km,10,12162.983648241205,4778.4482924563545,151.18341346916083,0.28135771272766646,0.08206764421822284,0.002596505356743252,Liando (LOS),30000000
